id,TZ_Region
69572,NJOMBE
8776,Mara
34310,Manyara
67743,Mtwara
19728,Kagera
9944,Tanga
19816,Shinyanga
54551,Shinyanga
53934,Tabora
46144,Kagera
49056,Pwani
50409,Ruvuma
36957,SIMIYU
50495,Kilimanjaro
53752,SIMIYU
61848,Rukwa
48451,NJOMBE
58155,NJOMBE
34169,Mwanza
18274,NJOMBE
48375,NJOMBE
6091,SIMIYU
58500,NJOMBE
37862,Kilimanjaro
51058,Kigoma
22308,Kilimanjaro
55012,Lindi
20145,Kagera
19685,Kilimanjaro
69124,Kilimanjaro
46804,Dodoma
6696,Pwani
57238,Kilimanjaro
12402,NJOMBE
41583,Pwani
57355,Arusha
67359,Mbeya
60048,Dodoma
16583,Iringa
25,Kigoma
70238,Kilimanjaro
12796,NJOMBE
52019,Iringa
19282,Singida
1843,Arusha
12958,Shinyanga
45111,Mtwara
13620,Mbeya
18864,Iringa
25182,NJOMBE
3228,Kilimanjaro
19308,Rukwa
10745,Mbeya
32376,GEITA
9417,Kagera
68724,Kilimanjaro
74197,Kilimanjaro
22961,Arusha
24593,Manyara
31714,Kagera
29952,Tanga
40393,Tanga
2127,Kigoma
8265,Arusha
67433,Singida
51072,Singida
34255,Iringa
22108,Kagera
4720,NJOMBE
54801,Kigoma
21990,Morogoro
17386,Mbeya
41609,Mbeya
35715,Mara
53970,Kigoma
62971,Kagera
63542,NJOMBE
15622,Arusha
12903,Tanga
52561,GEITA
19415,NJOMBE
65531,Morogoro
3675,Arusha
34383,Shinyanga
30423,Mara
68717,Mwanza
3688,Iringa
30537,Kagera
27312,Pwani
22143,Dodoma
43237,Kigoma
62591,Lindi
39920,Pwani
70892,Manyara
48593,Kagera
26419,Kigoma
68554,Kigoma
29083,Mwanza
33379,Ruvuma
43206,Shinyanga
41743,Tanga
17970,Singida
25693,Kigoma
39364,Ruvuma
57580,Kilimanjaro
23000,Kilimanjaro
59902,Shinyanga
60371,GEITA
74246,Iringa
7116,Mbeya
64063,Arusha
59983,Arusha
10784,Kagera
49503,SONGWE
54248,Dodoma
24409,Kagera
21068,Morogoro
62341,Mara
10837,Mara
35458,Manyara
36038,NJOMBE
64447,Kagera
22897,Kagera
2915,Arusha
14016,Mbeya
69525,Tabora
73061,Singida
42031,NJOMBE
33235,Shinyanga
41839,Mwanza
62002,GEITA
6106,Arusha
25915,Mbeya
20673,Shinyanga
59475,Tanga
24012,NJOMBE
69107,SONGWE
64062,Lindi
44002,Kagera
37471,Kagera
49585,Mbeya
60852,Morogoro
64130,Tabora
17687,Morogoro
38876,Morogoro
28669,Dar es Salaam
73769,Kagera
66521,Iringa
53167,Lindi
24232,Mbeya
65788,Mara
72981,Mbeya
60983,Dar es Salaam
37768,Mara
64880,Kigoma
32871,Ruvuma
45564,Mbeya
23519,GEITA
50173,SIMIYU
66843,Lindi
13815,Iringa
36591,Rukwa
71845,NJOMBE
42180,Kigoma
63632,Mwanza
55594,Singida
11787,Tabora
48528,Kigoma
72678,SIMIYU
50970,Mtwara
37840,Ruvuma
44258,Rukwa
10715,Pwani
12120,Morogoro
67980,Morogoro
41635,Rukwa
14884,Manyara
56725,SIMIYU
33037,SONGWE
22190,Tanga
47459,Iringa
68908,Pwani
62670,Arusha
60866,Rukwa
2136,Pwani
33320,Iringa
58126,SONGWE
45604,Kagera
67428,Mbeya
52318,Mbeya
33347,Singida
36684,Iringa
41034,Iringa
112,Pwani
4807,NJOMBE
41845,Mtwara
6065,Kilimanjaro
37187,Kilimanjaro
26540,Mara
8879,Shinyanga
30377,Kagera
20203,Singida
8060,Iringa
59630,Iringa
10068,Kagera
34609,Kagera
26701,SONGWE
46897,Arusha
34636,Pwani
52520,Arusha
75,NJOMBE
31626,Mbeya
3181,KATAVI
43098,SONGWE
37008,Kilimanjaro
34853,Mbeya
48752,Kilimanjaro
31132,Shinyanga
37562,Arusha
28740,Mbeya
30257,Singida
53212,Kilimanjaro
40729,Arusha
48695,Kigoma
35140,Pwani
46814,Mara
7721,Morogoro
63695,Singida
7171,GEITA
58838,Mwanza
61046,Tanga
68347,Mwanza
14746,Singida
14952,Mtwara
64334,Manyara
72374,Mbeya
33169,Tabora
4907,Morogoro
49994,Mbeya
59588,Tanga
46893,Morogoro
16944,GEITA
35828,Dodoma
24377,Tanga
51694,Iringa
70241,Kagera
1780,Iringa
39490,Tanga
21704,Kilimanjaro
35193,Pwani
24948,NJOMBE
6076,Mtwara
18451,Kilimanjaro
13042,SIMIYU
34877,NJOMBE
10891,Shinyanga
33500,GEITA
1012,Mtwara
4321,Iringa
41162,Rukwa
31957,Kagera
15815,Singida
47462,Dodoma
28110,Shinyanga
52448,Dodoma
18832,Arusha
62720,Kigoma
14326,Kilimanjaro
36933,Mbeya
65093,Mtwara
50139,Mbeya
36455,Tabora
49732,SONGWE
20200,Shinyanga
43777,Kigoma
42497,Ruvuma
52601,Morogoro
65530,Tanga
73024,Kilimanjaro
18842,Rukwa
9474,Kigoma
44434,Kigoma
36366,Shinyanga
47236,Arusha
8633,Kigoma
71487,SIMIYU
46268,Kilimanjaro
36093,SIMIYU
2591,Rukwa
69669,Kigoma
67377,DAR ES SALAAM
51185,Singida
24049,Arusha
70835,Arusha
74176,Kilimanjaro
68037,Dodoma
10992,Mtwara
45886,Mwanza
64793,SONGWE
40808,Mtwara
62565,Kagera
70379,GEITA
10089,Shinyanga
37364,Mbeya
43345,Tabora
39310,GEITA
59713,GEITA
28945,Mbeya
5074,Manyara
54009,Pwani
35563,Ruvuma
17668,Mbeya
30390,Mbeya
1298,Kagera
2993,Pwani
63712,Kigoma
61979,Rukwa
39704,Mtwara
29191,Tanga
35649,Mbeya
15840,Mtwara
45415,SIMIYU
8055,Dodoma
51403,Mwanza
33963,Lindi
21669,Rukwa
7900,GEITA
337,Kigoma
17861,Ruvuma
13195,Dodoma
54722,Lindi
2845,NJOMBE
17111,SONGWE
21338,MWANZA
49326,SIMIYU
15358,Ruvuma
33040,Dodoma
40592,NJOMBE
29513,Morogoro
51163,Rukwa
40920,Tabora
65101,Morogoro
21127,Dodoma
67822,Arusha
14135,Manyara
10458,Kilimanjaro
32089,SIMIYU
8230,Arusha
43433,Ruvuma
62188,Morogoro
19,Mtwara
26577,Manyara
68887,Mbeya
9382,Kigoma
65238,Singida
17897,Mbeya
29744,Arusha
23987,Kagera
26655,Mbeya
17978,Arusha
51558,Dodoma
48007,Manyara
25534,NJOMBE
13969,Tabora
39548,Kigoma
25143,Morogoro
25736,Arusha
17516,Mara
66980,Tabora
45444,Morogoro
59310,GEITA
59102,Arusha
61883,Morogoro
93,Ruvuma
15988,NJOMBE
19304,Pwani
44092,Ruvuma
66242,Dodoma
51611,Ruvuma
53847,Dodoma
67634,Kilimanjaro
24757,Kilimanjaro
37524,Arusha
16341,SIMIYU
39176,Morogoro
24836,Ruvuma
73470,Mbeya
11533,Tabora
74217,Arusha
7007,NJOMBE
4101,Mwanza
17041,Rukwa
38725,NJOMBE
39749,Dar es Salaam
62642,Kilimanjaro
49453,Kilimanjaro
63018,Iringa
65932,Mtwara
56863,Ruvuma
23835,Morogoro
34870,Mtwara
39915,Arusha
9736,Mwanza
70019,Mbeya
20984,Mwanza
20132,Shinyanga
5963,SIMIYU
3740,Iringa
26943,Morogoro
43742,Ruvuma
5784,Rukwa
42548,Iringa
5121,Morogoro
57478,Kagera
58537,Kilimanjaro
3627,NJOMBE
4062,Mwanza
15832,Dar es Salaam
34741,Ruvuma
67097,Morogoro
4437,Kilimanjaro
65817,Kilimanjaro
39559,Pwani
54412,Mbeya
25344,Pwani
2301,Kilimanjaro
32844,Arusha
59874,Kagera
50233,Dar es Salaam
29639,Mbeya
65584,Kilimanjaro
43808,Shinyanga
6788,Manyara
51220,SIMIYU
16872,Mbeya
66383,Kilimanjaro
58599,Arusha
29383,Shinyanga
36809,Pwani
29753,Kagera
72112,Lindi
34926,Lindi
59898,Morogoro
779,Iringa
68126,Morogoro
48102,Lindi
24794,Mbeya
29771,Mwanza
29052,Kigoma
4923,Mbeya
38642,Mtwara
27079,SONGWE
60111,NJOMBE
12478,Arusha
67155,Shinyanga
54733,Mtwara
45654,Morogoro
54678,NJOMBE
1439,Lindi
16313,Shinyanga
6735,Kilimanjaro
3328,Pwani
1220,Kagera
57970,Kigoma
44204,Kilimanjaro
63675,Arusha
40519,Ruvuma
66382,Ruvuma
45386,Lindi
43604,Tanga
59053,Tanga
1030,Rukwa
52677,Shinyanga
1738,Morogoro
19548,Kagera
30897,NJOMBE
27523,Pwani
815,Arusha
14910,Kilimanjaro
11184,Singida
49071,Arusha
22000,Shinyanga
60074,Kigoma
60374,Arusha
25913,Dodoma
6205,Pwani
48390,Arusha
3980,Morogoro
11905,Kilimanjaro
45320,NJOMBE
31264,Mtwara
16537,GEITA
9096,Kagera
33104,Ruvuma
11754,Shinyanga
4147,Ruvuma
53577,Kilimanjaro
42476,Iringa
68995,Mtwara
32255,Pwani
8699,NJOMBE
1203,Rukwa
70666,SIMIYU
