REGION,WARD
ARUSHA,Bangata
ARUSHA,Bwawani
ARUSHA,Ilboru
ARUSHA,Ilkiding'a
ARUSHA,Kimnyaki
ARUSHA,Kiranyi
ARUSHA,Kisongo
ARUSHA,Kiutu
ARUSHA,Laroi
ARUSHA,Lemanyata
ARUSHA,Mateves
ARUSHA,Mlangarini
ARUSHA,Moivo
ARUSHA,Musa
ARUSHA,Mwandet
ARUSHA,Nduruma
ARUSHA,Oldonyosambu
ARUSHA,Oldonyowass
ARUSHA,Oljoro
ARUSHA,Olkokola
ARUSHA,Olmotonyi
ARUSHA,Olorien
ARUSHA,Olturoto
ARUSHA,Olturumet
ARUSHA,Sambasha
ARUSHA,Sokon II
ARUSHA,Tarakwa
ARUSHA,Baraa
ARUSHA,Daraja Ii
ARUSHA,Elerai
ARUSHA,Engutoto
ARUSHA,Kaloleni
ARUSHA,Kati
ARUSHA,Kimandolu
ARUSHA,Lemara
ARUSHA,Levolosi
ARUSHA,Moivaro
ARUSHA,Moshono
ARUSHA,Muriet
ARUSHA,Ngarenaro
ARUSHA,Olasiti
ARUSHA,Olmoti
ARUSHA,Oloirien
ARUSHA,Osunyai Jr
ARUSHA,Sekei
ARUSHA,Sinoni
ARUSHA,Sokon I
ARUSHA,Sombetini
ARUSHA,Terrat
ARUSHA,Themi
ARUSHA,Unga Ltd
ARUSHA,Baray
ARUSHA,Buger
ARUSHA,Daa
ARUSHA,Endabash
ARUSHA,Endamaghang
ARUSHA,Endamarariek
ARUSHA,Ganako
ARUSHA,Kansay
ARUSHA,Karatu
ARUSHA,Mangiola
ARUSHA,Mbulumbulu
ARUSHA,Oldeani
ARUSHA,Qurus
ARUSHA,Rhotia
ARUSHA,Elangiatadapash
ARUSHA,Engarenaibor
ARUSHA,Engikaret
ARUSHA,Gelai Lumbwa
ARUSHA,Gelai Meirugoi
ARUSHA,Ilorienito
ARUSHA,Kamwanga
ARUSHA,Ketumbeine
ARUSHA,Kimokouwa
ARUSHA,Longido
ARUSHA,Matale A
ARUSHA,Mundarara
ARUSHA,Namanga
ARUSHA,Noondoto
ARUSHA,Olmolog
ARUSHA,Orbomba
ARUSHA,Sinya
ARUSHA,Tingatinga
ARUSHA,Akheri
ARUSHA,Ambureni
ARUSHA,Imbaseni
ARUSHA,Kikatiti
ARUSHA,Kikwe
ARUSHA,King'ori
ARUSHA,Leguruki
ARUSHA,Majengo
ARUSHA,Maji ya chai
ARUSHA,Makiba
ARUSHA,Malula
ARUSHA,Maroroni
ARUSHA,Maruvango
ARUSHA,Mbuguni
ARUSHA,Ngabobo
ARUSHA,Ngarenanyuki
ARUSHA,Nkoanekoli
ARUSHA,Nkoanrua
ARUSHA,Nkoaranga
ARUSHA,Nkoarisambu
ARUSHA,Poli
ARUSHA,Seela Sing'isi
ARUSHA,Shambarai Burka
ARUSHA,Songoro
ARUSHA,Usariver
ARUSHA,Uwiro
ARUSHA,Engaruka
ARUSHA,Esilalei
ARUSHA,Lashaine
ARUSHA,Lemooti
ARUSHA,Lepurko
ARUSHA,Lolkisale
ARUSHA,Makuyuni
ARUSHA,Meserani
ARUSHA,Mfereji
ARUSHA,Migungani
ARUSHA,Moita
ARUSHA,Monduli juu
ARUSHA,Monduli Mjini
ARUSHA,Mswakini
ARUSHA,Mto wa Mbu
ARUSHA,Naalarami
ARUSHA,Selela
ARUSHA,Sepeko
ARUSHA,Alailelai
ARUSHA,Alaitolei
ARUSHA,Arash
ARUSHA,Digodigo
ARUSHA,Enduleni
ARUSHA,Engaresero
ARUSHA,Enguserosambu
ARUSHA,Eyasi
ARUSHA,Kakesio
ARUSHA,Kirangi
ARUSHA,Maalon
ARUSHA,Malambo
ARUSHA,Misigyo
ARUSHA,Nainokanoka
ARUSHA,Naiyobi
ARUSHA,Ngoile
ARUSHA,Ngorongoro
ARUSHA,Olbalbal
ARUSHA,Oloipiri
ARUSHA,Ololosokwan
ARUSHA,Olorien/Magaiduru
ARUSHA,Orgosorok
ARUSHA,Pinyinyi
ARUSHA,Piyaya
ARUSHA,Sale
ARUSHA,Soitsambu
DAR ES SALAAM,Bonyokwa
DAR ES SALAAM,Buguruni
DAR ES SALAAM,Buyuni
DAR ES SALAAM,Chanika
